S.No.,Category,Product Name,Description,Quantity,Original Price (MRP),Selling Price,Image URL
1,Desserts & Ice Creams,Chocolate Ice Cream,"Chocolate Ice Cream for everyday cooking, dining, and household needs.",100ml / 500ml / 1L,,,
2,Desserts & Ice Creams,Gulab Jamun,"Gulab Jamun for everyday cooking, dining, and household needs.",250g / 500g / 1kg,,,
3,Desserts & Ice Creams,Ice Cream Bars / Chocobar,"Ice Cream Bars / Chocobar for everyday cooking, dining, and household needs.",60ml / 80ml / 100ml,,,
4,Desserts & Ice Creams,Kozhikodan Yellow Halwa,"Kozhikodan Yellow Halwa for everyday cooking, dining, and household needs.",250g / 500g / 1kg,,,
5,Desserts & Ice Creams,Kozhikode Halwa (Black / Karutha Halwa),"Kozhikode Halwa (Black / Karutha Halwa) for everyday cooking, dining, and household needs.",250g / 500g / 1kg / 2kg,,,
6,Desserts & Ice Creams,Kulfi,"Kulfi for everyday cooking, dining, and household needs.",60ml / 100ml / 120ml,,,
7,Desserts & Ice Creams,Mango Ice Cream,"Mango Ice Cream for everyday cooking, dining, and household needs.",100ml / 500ml / 1L,,,
8,Desserts & Ice Creams,Palada Payasam Mix,"Palada Payasam Mix for everyday cooking, dining, and household needs.",200g / 300g / 500g,,,
9,Desserts & Ice Creams,Semiya Payasam Mix,"Semiya Payasam Mix for everyday cooking, dining, and household needs.",200g / 300g / 500g,,,
10,Desserts & Ice Creams,Tender Coconut Ice Cream,"Tender Coconut Ice Cream for everyday cooking, dining, and household needs.",100ml / 500ml / 1L,,,
11,Desserts & Ice Creams,Vanilla Ice Cream,"Vanilla Ice Cream for everyday cooking, dining, and household needs.",100ml / 500ml / 1L / 2L,,,
