S.No.,Category,Product Name,Description,Quantity,Original Price (MRP),Selling Price,Image URL
1,"Rice, Atta & Flours",Palakkadan Matta Rice,"Geographical Indication (GI) tagged bold red parboiled rice grown in Palakkad, Kerala; primary daily table staple known for its earthy fragrance and nutrient-rich pericarp.",5 kg,,,
2,"Rice, Atta & Flours",Matta Rice,"Everyday Kerala red parboiled table rice retaining natural bran layer; staple accompaniment to sambar, fish curry, and vegetable thoran.",5 kg,,,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&w=600&q=80
3,"Rice, Atta & Flours",Kerala Red Raw Rice,"Unboiled traditional Kerala red rice, locally known as Chuvanna Pachari; commonly cooked for light lunch porridge, evening kanji, and festive temple nivedyam.",1 kg,,,
4,"Rice, Atta & Flours",Kerala White Raw Rice,"Unboiled polished white rice grain, locally known as Vella Pachari; fundamental staple used for soaking and grinding idli, dosa, appam batters and cooking sweet payasam.",1 kg,,,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&w=600&q=80
5,"Rice, Atta & Flours",Kerala White Boiled Rice,"Standard parboiled white rice, locally known as Vella Puzhukkalari; widely favored in Kerala homes as an easy-to-digest everyday lunch staple.",5 kg,,,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&w=600&q=80
6,"Rice, Atta & Flours",Kuruva Rice,Prominent indigenous bold-grain parboiled rice widely cultivated and consumed across Malabar and Central Kerala for daily family meals.,5 kg,,,
7,"Rice, Atta & Flours",Jaya Rice,"Popular medium-slender parboiled table rice with firm non-sticky grains, universally stocked across Kerala grocery shops.",5 kg,,,
8,"Rice, Atta & Flours",Palakkadan Jaya Rice,"Single-origin premium parboiled Jaya rice from the Palakkad paddy plains, prized for uniform grain length and consistent cooking texture.",5 kg,,,
9,"Rice, Atta & Flours",Nadan Rice,"Traditional indigenous homestead wetland rice cultivated in Kerala, lightly milled to preserve natural mineral-rich bran layers.",5 kg,,,
10,"Rice, Atta & Flours",Rose Matta Rice,Prized red parboiled rice featuring a subtle rose pericarp hue and delicate aroma; favorite selection for Kerala feast meals.,5 kg,,,
11,"Rice, Atta & Flours",Chamba Rice,"Ancient heritage Kerala red rice, locally known as Chambavari; celebrated for its distinctive earthy character and traditional use in nutritious red gruels.",1 kg,,,
12,"Rice, Atta & Flours",Andhra Vella Rice,"Polished white parboiled rice sourced from Andhra Pradesh, widely demanded in Kerala local shops as an economical daily table grain.",5 kg,,,
13,"Rice, Atta & Flours",Vellaponni Rice,"Fine-grained, delicate polished white rice popular across South India and Kerala for soft everyday dining.",5 kg,,,
14,"Rice, Atta & Flours",Bodhana Rice,Traditional parboiled bold red grain rice favored in rural Kerala households for wholesome daily nourishment.,5 kg,,,
15,"Rice, Atta & Flours",Unakkalari,Traditional unpolished hand-pounded red raw rice grains specifically selected for preparing sacred Kerala temple paalpayasam and sharkara payasam.,1 kg,,,
16,"Rice, Atta & Flours",Jeerakasala Rice,"Geographical Indication (GI) tagged small-grain aromatic rice from Wayanad, also known as Kaima; the authentic, irreplaceable grain for Malabar and Thalassery Biryani.",1 kg,,,
17,"Rice, Atta & Flours",Gandhakasala Rice,"GI-tagged heritage scented rice cultivated in Wayanad, renowned for its pervasive natural aroma in ghee rice (nei choru) and celebratory feasts.",1 kg,,,
18,"Rice, Atta & Flours",Navara Rice,GI-tagged ancient heritage rice of Kerala with deep roots in Ayurveda; traditionally cooked for Karkidaka Kanji porridge and traditional dietary preparations.,1 kg,,,
19,"Rice, Atta & Flours",Pokkali Rice,GI-tagged saltwater-tolerant organic red rice cultivated in the coastal tidal wetlands of Kerala; celebrated for distinctive rustic grain texture.,1 kg,,,
20,"Rice, Atta & Flours",Kaipad Rice,"GI-tagged naturally organic saline-resistant red rice grown in coastal tracts of North Malabar, packed with natural dietary fiber.",1 kg,,,
21,"Rice, Atta & Flours",Rakthashali Rice,"Rare heritage red rice celebrated in traditional Kerala food culture, commonly consumed as wholesome red gruel.",1 kg,,,
22,"Rice, Atta & Flours",Mullankazhama Rice,"Heirloom fragrant table rice indigenous to Wayanad, prized for delicate tender texture and rich traditional taste.",1 kg,,,
23,"Rice, Atta & Flours",Thondi Rice,"Indigenous heritage red parboiled rice cultivated in Wayanad valleys, known for hearty rustic grain feel.",1 kg,,,
24,"Rice, Atta & Flours",Chettiveliyan Rice,"Sturdy heritage parboiled red rice from Wayanad with high resistance and hearty grain texture, favored for wholesome lunch meals.",1 kg,,,
25,"Rice, Atta & Flours",Broken Matta Rice,"Cracked red parboiled matta rice grains, locally called Matta Ari Nurukku; cooks rapidly into comforting Kerala kanji served with cooked green gram and coconut chutney.",1 kg,,,
26,"Rice, Atta & Flours",Broken Raw Rice,"Crushed white raw rice pieces, locally called Pachari Nurukku; commonly boiled for soothing porridge and traditional temple desserts.",1 kg,,,
27,"Rice, Atta & Flours",Brown Rice,"Whole unpolished table rice with outer bran intact; rich in natural fiber, popular among health-conscious Kerala households.",1 kg,,,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&w=600&q=80
28,"Rice, Atta & Flours",Black Rice,"Nutrient-rich heirloom whole grain rice, known in South India as Karuppu Kavuni; used for traditional puddings, payasam, and specialty diets.",500 g,,,
29,"Rice, Atta & Flours",Ponni Boiled Rice,Standard South Indian medium-slender parboiled rice; widely purchased across Kerala for everyday family lunch meals.,5 kg,,,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&w=600&q=80
30,"Rice, Atta & Flours",Raw Ponni Rice,"Non-boiled fine Ponni rice grain; favored for quick-cooking light meals, festive dishes, and sweet temple pongal.",5 kg,,,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&w=600&q=80
31,"Rice, Atta & Flours",Sona Masuri Rice,"Lightweight, aromatic medium-grain white rice; widely stocked in Kerala grocery shops for daily meals, pulao, and fried rice.",5 kg,,,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&w=600&q=80
32,"Rice, Atta & Flours",Idli Rice,Short bold parboiled rice specially milled to yield high batter volume and fluffy texture when ground with urad dal for idlis.,5 kg,,,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&w=600&q=80
33,"Rice, Atta & Flours",Basmati Rice,Classic long-grain aromatic basmati rice aged for fluffy non-sticky grain separation; widely used for biryanis and festive pulaos.,1 kg,,,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&w=600&q=80
34,"Rice, Atta & Flours",1121 Basmati Rice,Extra-long slender basmati grain celebrated for supreme post-cooking elongation; preferred choice for wedding and party biryanis.,1 kg,,,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&w=600&q=80
35,"Rice, Atta & Flours",Sella Basmati Rice,"Parboiled firm basmati grain with golden tint; highly resilient to breakage, favored by Kerala catering establishments for bulk biryani cooking.",5 kg,,,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&w=600&q=80
36,"Rice, Atta & Flours",Brown Basmati Rice,Whole grain aromatic basmati with nutty bran layer intact; combines delicate basmati fragrance with natural whole-grain fiber.,1 kg,,,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&w=600&q=80
37,"Rice, Atta & Flours",Broken Basmati Rice,"Aromatic broken basmati grain pieces, commonly known as Tibar or Dubar; budget-friendly option for daily flavorful khichdi, kheer, and family rice dishes.",1 kg,,,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&w=600&q=80
38,"Rice, Atta & Flours",Kolam Rice,Slender white table rice with smooth cooking texture; common daily staple in retail grocery stores.,5 kg,,,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&w=600&q=80
39,"Rice, Atta & Flours",Puttu Podi,"Coarsely granulated, steam-roasted white rice flour engineered specifically for layering with coconut and steaming soft Kerala puttu.",1 kg,,,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=600&q=80
40,"Rice, Atta & Flours",Matta Puttu Podi,Coarsely granulated flour milled from parboiled Kerala matta red rice; provides rich bran fiber in traditional breakfast puttu.,1 kg,,,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=600&q=80
41,"Rice, Atta & Flours",Chemba Puttu Podi,"Special coarse puttu flour milled from traditional Chemba red rice, giving an authentic rustic color and distinct earthy flavor.",1 kg,,,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=600&q=80
42,"Rice, Atta & Flours",Wheat Puttu Podi,"Coarsely granulated whole wheat flour formulated for making nutritious, non-clumping steamed wheat puttu.",1 kg,,,https://images.unsplash.com/photo-1574323347407-f5e1ad6d020b?auto=format&fit=crop&w=600&q=80
