S.No.,Category,Product Name,Description,Quantity,Original Price (MRP),Selling Price,Image URL
1,Fresh Vegetables,Fresh American Sweet Corn Cob,"Fresh American Sweet Corn Cob for everyday cooking, dining, and household needs.",1 pc,,,https://images.unsplash.com/photo-1551754655-cd27e38d2076?w=500&auto=format&fit=crop&q=80
2,Fresh Vegetables,Fresh Amla (Nellikka),"Fresh Amla (Nellikka) for everyday cooking, dining, and household needs.",250 g,,,https://images.unsplash.com/photo-1615485500704-8e990f9900f7?w=500&auto=format&fit=crop&q=80
3,Fresh Vegetables,Fresh Arvi (Chembu),"Fresh Arvi (Chembu) for everyday cooking, dining, and household needs.",250 g,,,https://images.unsplash.com/photo-1592924357228-91a4daadcfea?w=500&auto=format&fit=crop&q=80
4,Fresh Vegetables,Fresh Ash Gourd (Kumbalanga),"Fresh Ash Gourd (Kumbalanga) for everyday cooking, dining, and household needs.",500 g,,,https://images.unsplash.com/photo-1597362925123-77861d3fbac7?w=500&auto=format&fit=crop&q=80
5,Fresh Vegetables,Fresh Asparagus Green,"Fresh Asparagus Green for everyday cooking, dining, and household needs.",100 g,,,https://images.unsplash.com/photo-1592924357228-91a4daadcfea?w=500&auto=format&fit=crop&q=80
6,Fresh Vegetables,Fresh Baby Corn,"Fresh Baby Corn for everyday cooking, dining, and household needs.",200 g,,,https://images.unsplash.com/photo-1543362906-acfc16c67564?w=500&auto=format&fit=crop&q=80
7,Fresh Vegetables,Fresh Baby Spinach,"Fresh Baby Spinach for everyday cooking, dining, and household needs.",100 g,,,https://images.unsplash.com/photo-1576045057995-568f588f82fb?w=500&auto=format&fit=crop&q=80
8,Fresh Vegetables,Fresh Banana Flower,"Fresh Banana Flower for everyday cooking, dining, and household needs.",1 pc,,,https://images.unsplash.com/photo-1528825871115-3581a5387919?w=500&auto=format&fit=crop&q=80
9,Fresh Vegetables,Fresh Banana Leaf (Vazhayila),"Fresh Banana Leaf (Vazhayila) for everyday cooking, dining, and household needs.",5 pcs,,,https://images.unsplash.com/photo-1513836279014-a89f7a76ae86?w=500&auto=format&fit=crop&q=80
10,Fresh Vegetables,Fresh Banana Stem,"Fresh Banana Stem for everyday cooking, dining, and household needs.",1 pc,,,https://images.unsplash.com/photo-1528825871115-3581a5387919?w=500&auto=format&fit=crop&q=80
11,Fresh Vegetables,Fresh Bathua Leaves,"Fresh Bathua Leaves for everyday cooking, dining, and household needs.",200 g,,,https://images.unsplash.com/photo-1576045057995-568f588f82fb?w=500&auto=format&fit=crop&q=80
12,Fresh Vegetables,Fresh Beetroot (Beetroot),"Fresh Beetroot (Beetroot) for everyday cooking, dining, and household needs.",250 g,,,https://images.unsplash.com/photo-1525607551316-4a8e16d1f9ba?w=500&auto=format&fit=crop&q=80
13,Fresh Vegetables,Fresh Betel Leaves (Vettila),"Fresh Betel Leaves (Vettila) for everyday cooking, dining, and household needs.",5 pcs,,,https://images.unsplash.com/photo-1563245372-f21724e3856d?w=500&auto=format&fit=crop&q=80
14,Fresh Vegetables,Fresh Bilva Leaves (Koovalam Ila),"Fresh Bilva Leaves (Koovalam Ila) for everyday cooking, dining, and household needs.",5 pcs,,,https://images.unsplash.com/photo-1563245372-f21724e3856d?w=500&auto=format&fit=crop&q=80
15,Fresh Vegetables,Fresh Bitter Gourd (Pavakka),"Fresh Bitter Gourd (Pavakka) for everyday cooking, dining, and household needs.",250 g,,,https://images.unsplash.com/photo-1597362925123-77861d3fbac7?w=500&auto=format&fit=crop&q=80
16,Fresh Vegetables,Fresh Bok Choy,"Fresh Bok Choy for everyday cooking, dining, and household needs.",200 g,,,https://images.unsplash.com/photo-1551893478-d726eaf0442c?w=500&auto=format&fit=crop&q=80
17,Fresh Vegetables,Fresh Bottle Gourd (Churakka),"Fresh Bottle Gourd (Churakka) for everyday cooking, dining, and household needs.",400 g,,,https://images.unsplash.com/photo-1597362925123-77861d3fbac7?w=500&auto=format&fit=crop&q=80
18,Fresh Vegetables,Fresh Brinjal Bharta (Vazhuthananga),"Fresh Brinjal Bharta (Vazhuthananga) for everyday cooking, dining, and household needs.",1 pc,,,https://images.unsplash.com/photo-1615484477778-ca3b77940c25?w=500&auto=format&fit=crop&q=80
19,Fresh Vegetables,Fresh Broccoli,"Fresh Broccoli for everyday cooking, dining, and household needs.",300 g,,,https://images.unsplash.com/photo-1459411621453-7b03977f4bfc?w=500&auto=format&fit=crop&q=80
20,Fresh Vegetables,Fresh Brussels Sprouts,"Fresh Brussels Sprouts for everyday cooking, dining, and household needs.",200 g,,,https://images.unsplash.com/photo-1540420773420-3366772f4999?w=500&auto=format&fit=crop&q=80
21,Fresh Vegetables,Fresh Button Mushroom,"Fresh Button Mushroom for everyday cooking, dining, and household needs.",180 g,,,https://images.unsplash.com/photo-1504544750208-dc0358e63f7f?w=500&auto=format&fit=crop&q=80
22,Fresh Vegetables,Fresh Button Mushroom Pack,"Fresh Button Mushroom Pack for everyday cooking, dining, and household needs.",200 g,,,https://images.unsplash.com/photo-1504544750208-dc0358e63f7f?w=500&auto=format&fit=crop&q=80
23,Fresh Vegetables,Fresh Cabbage (Muttakose),"Fresh Cabbage (Muttakose) for everyday cooking, dining, and household needs.",400 g,,,https://images.unsplash.com/photo-1568584711075-3d021a7c3ca3?w=500&auto=format&fit=crop&q=80
24,Fresh Vegetables,Fresh Cauliflower (Cauliflower),"Fresh Cauliflower (Cauliflower) for everyday cooking, dining, and household needs.",400 g,,,https://images.unsplash.com/photo-1568584711075-3d021a7c3ca3?w=500&auto=format&fit=crop&q=80
25,Fresh Vegetables,Fresh Celery,"Fresh Celery for everyday cooking, dining, and household needs.",100 g,,,https://images.unsplash.com/photo-1515543237350-b3eea1ec8082?w=500&auto=format&fit=crop&q=80
26,Fresh Vegetables,Fresh Chawli Leaves (Cheera),"Fresh Chawli Leaves (Cheera) for everyday cooking, dining, and household needs.",250 g,,,https://images.unsplash.com/photo-1576045057995-568f588f82fb?w=500&auto=format&fit=crop&q=80
27,Fresh Vegetables,Fresh Cherry Tomatoes,"Fresh Cherry Tomatoes for everyday cooking, dining, and household needs.",200 g,,,https://images.unsplash.com/photo-1592924357228-91a4daadcfea?w=500&auto=format&fit=crop&q=80
28,Fresh Vegetables,Fresh Chinese Cabbage,"Fresh Chinese Cabbage for everyday cooking, dining, and household needs.",300 g,,,https://images.unsplash.com/photo-1551893478-d726eaf0442c?w=500&auto=format&fit=crop&q=80
29,Fresh Vegetables,Fresh Cluster Beans (Kothavara),"Fresh Cluster Beans (Kothavara) for everyday cooking, dining, and household needs.",250 g,,,https://images.unsplash.com/photo-1597362925123-77861d3fbac7?w=500&auto=format&fit=crop&q=80
30,Fresh Vegetables,Fresh Coriander Bunch (Malli Ila),"Fresh Coriander Bunch (Malli Ila) for everyday cooking, dining, and household needs.",100 g,,,https://images.unsplash.com/photo-1588879460618-9249e7d947d1?w=500&auto=format&fit=crop&q=80
31,Fresh Vegetables,Fresh Curry Leaves (Kariveppila),"Fresh Curry Leaves (Kariveppila) for everyday cooking, dining, and household needs.",50 g,,,https://images.unsplash.com/photo-1628556270448-4d4e4148e1b1?w=500&auto=format&fit=crop&q=80
32,Fresh Vegetables,Fresh Desi Tomato (Thakkali),"Fresh Desi Tomato (Thakkali) for everyday cooking, dining, and household needs.",500 g,,,https://images.unsplash.com/photo-1592924357228-91a4daadcfea?w=500&auto=format&fit=crop&q=80
33,Fresh Vegetables,Fresh Drumstick (Muringakkol),"Fresh Drumstick (Muringakkol) for everyday cooking, dining, and household needs.",2 pcs,,,https://images.unsplash.com/photo-1597362925123-77861d3fbac7?w=500&auto=format&fit=crop&q=80
