S.No.,Category,Product Name,Description,Quantity,Original Price (MRP),Selling Price,Image URL
1,Fruits,Nendran Banana,Traditional Kerala plantain variety widely eaten ripe and used for cooking chips and desserts.,1 kg,,,
2,Fruits,Chengalikodan Nendran Banana,GI-tagged heritage Nendran banana variety from Thrissur known for its golden color and sweet pulp.,1 kg,,,
3,Fruits,Poovan Banana,Popular Kerala dessert banana with bright yellow peel and a sweet mildly acidic flavor.,1 kg,,,
4,Fruits,Palayankodan Banana,Everyday household table banana variety in Kerala with a sweet-tangy taste and thin peel.,1 kg,,,
5,Fruits,Njalipoovan Banana,Small aromatic table banana variety with thin skin and intense natural sweetness.,1 kg,,,
6,Fruits,Chenkadali Banana,Thick red-skinned banana variety featuring sweet orange-tinted pulp rich in nutrients.,1 kg,,,
7,Fruits,Rasthali Banana,Traditional dessert banana variety with delicate apple aroma and creamy sweet texture.,1 kg,,,
8,Fruits,Robusta Banana,Common commercial Cavendish table banana with sweet and firm creamy pulp.,1 kg,,,
9,Fruits,Karpuravalli Banana,Sweet banana variety with an ashy peel and distinctive honey-like fragrance.,1 kg,,,
10,Fruits,Grand Naine Banana,Uniformly grown high-yielding table banana with rich sweet flavor and soft texture.,1 kg,,,
11,Fruits,Dwarf Cavendish Banana,Compact sweet table banana variety commonly grown in home gardens and local orchards.,1 kg,,,
12,Fruits,Monthan Banana,Starchy culinary banana variety with thick angular peel used for traditional savory curries.,1 kg,,,
13,Fruits,Kanchikela Banana,Hard cooking plantain variety specifically preferred for preparing traditional Kerala banana chips.,1 kg,,,
14,Fruits,Alphonso Mango,Celebrated sweet mango variety prized for its rich aromatic saffron pulp and tender peel.,1 kg,,,
15,Fruits,Banganapalli Mango,Large sweet oblong mango variety with smooth fiberless golden pulp and thin skin.,1 kg,,,
16,Fruits,Kesar Mango,Highly aromatic Indian mango variety famous for sweet saffron-colored juice and rich fragrance.,1 kg,,,
17,Fruits,Totapuri Mango,Curved beak-shaped firm mango commonly used for salads juices pickling and curries.,1 kg,,,
18,Fruits,Neelam Mango,Late-season table mango variety recognized by its golden yellow skin and floral aroma.,1 kg,,,
19,Fruits,Malgoa Mango,Large round traditional South Indian dessert mango with thick skin and rich sweet pulp.,1 kg,,,
20,Fruits,Priyoor Mango,Traditional Kerala homestead sweet mango variety popular for direct fresh consumption.,1 kg,,,
21,Fruits,Chandrakaran Mango,Small traditional Kerala country mango prized for extracting sweet juice for traditional pulissery.,1 kg,,,
22,Fruits,Kilichundan Mango,Pointed beak-ended indigenous Kerala mango variety enjoyed ripe as well as raw in pickles.,1 kg,,,
23,Fruits,Muvandan Mango,Popular indigenous Kerala country mango variety widely consumed fresh and used in cooking.,1 kg,,,
24,Fruits,Dasheri Mango,Sweet elongated North Indian dessert mango variety with smooth fiber-free sweet pulp.,1 kg,,,
25,Fruits,Raw Mango,Firm tart unripened green mango essential for traditional Kerala pickles curries and chutneys.,1 kg,,,
26,Fruits,Jackfruit,Whole traditional tropical fruit containing sweet aromatic bulbs and edible starchy seeds.,1 pc,,,
27,Fruits,Varikka Jackfruit,Firm-fleshed premium jackfruit variety with crisp sweet golden bulbs and rich aroma.,1 pc,,,
28,Fruits,Koozha Jackfruit,Soft-fleshed traditional jackfruit variety with tender melting sweet bulbs.,1 pc,,,
