S.No.,Category,Product Name,Description,Quantity,Original Price (MRP),Selling Price,Image URL
1,"Rice, Atta & Flours",Palakkadan Matta Rice,"Geographical Indication (GI) tagged bold red parboiled rice grown in Palakkad, Kerala; primary daily table staple known for its earthy fragrance and nutrient-rich pericarp.",5 kg,,,
2,"Rice, Atta & Flours",Matta Rice (Kerala Red Parboiled Rice),"Everyday Kerala red parboiled table rice retaining natural bran layer; staple accompaniment to sambar, fish curry, and vegetable thoran.",5 kg,,,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&w=600&q=80
3,"Rice, Atta & Flours",Kerala Red Raw Rice (Chuvanna Pachari),"Unboiled traditional Kerala red rice, commonly cooked for light lunch porridge, soothing evening kanji, and festive temple nivedyam.",1 kg,,,
4,"Rice, Atta & Flours",Kerala White Raw Rice (Vella Pachari),"Unboiled polished white rice grain; fundamental staple used for soaking and grinding idli, dosa, appam batters and cooking sweet payasam.",1 kg,,,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&w=600&q=80
5,"Rice, Atta & Flours",Kerala White Boiled Rice (Vella Puzhukkalari),"Standard parboiled white rice widely favored in Kerala homes as an easy-to-digest everyday lunch staple.",5 kg,,,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&w=600&q=80
6,"Rice, Atta & Flours",Kuruva Rice,"Prominent indigenous bold-grain parboiled rice widely cultivated and consumed across Malabar and Central Kerala for daily family meals.",5 kg,,,
7,"Rice, Atta & Flours",Jaya Rice,"Popular medium-slender parboiled table rice with firm non-sticky grains, universally stocked across Kerala grocery shops.",5 kg,,,
8,"Rice, Atta & Flours",Palakkadan Jaya Rice,"Single-origin premium parboiled Jaya rice from the Palakkad paddy plains, prized for uniform grain length and consistent cooking texture.",5 kg,,,
9,"Rice, Atta & Flours",Nadan Rice (Local Farm Rice),"Traditional indigenous homestead wetland rice cultivated in Kerala, lightly milled to preserve natural mineral-rich bran layers.",5 kg,,,
10,"Rice, Atta & Flours",Rose Matta Rice,"Prized red parboiled rice featuring a subtle rose pericarp hue and delicate aroma; favorite selection for Kerala feast meals.",5 kg,,,
11,"Rice, Atta & Flours",Chamba Rice (Chambavari),"Ancient heritage Kerala red rice celebrated for its distinctive earthy character and traditional use in nutritious red gruels.",1 kg,,,
12,"Rice, Atta & Flours",Andhra Vella Rice,"Polished white parboiled rice sourced from Andhra Pradesh, widely demanded in Kerala local shops as an economical daily table grain.",5 kg,,,
13,"Rice, Atta & Flours",Vellaponni Rice (White Ponni),"Fine-grained, delicate polished white rice popular across South India and Kerala for soft everyday dining.",5 kg,,,
14,"Rice, Atta & Flours",Bodhana Rice,"Traditional parboiled bold red grain rice favored in rural Kerala households for wholesome daily nourishment.",5 kg,,,
15,"Rice, Atta & Flours",Unakkalari (Payasam Rice),"Traditional unpolished hand-pounded red raw rice grains specifically selected for preparing sacred Kerala temple paalpayasam and sharkara payasam.",1 kg,,,
16,"Rice, Atta & Flours",Jeerakasala Rice (Kaima Rice),"Geographical Indication (GI) tagged small-grain aromatic rice from Wayanad; the authentic, irreplaceable grain for Malabar and Thalassery Biryani.",1 kg,,,
17,"Rice, Atta & Flours",Gandhakasala Rice,"GI-tagged heritage scented rice cultivated in Wayanad, renowned for its pervasive natural aroma in ghee rice (nei choru) and celebratory feasts.",1 kg,,,
18,"Rice, Atta & Flours",Navara Rice (Njavara),"GI-tagged ancient medicinal rice of Kerala with deep roots in Ayurveda; traditionally cooked into therapeutic Karkidaka Kanji porridge.",1 kg,,,
19,"Rice, Atta & Flours",Pokkali Rice,"GI-tagged saltwater-tolerant organic red rice cultivated organically in the coastal tidal wetlands of Kerala; celebrated for high antioxidant levels.",1 kg,,,
20,"Rice, Atta & Flours",Kaipad Rice,"GI-tagged naturally organic saline-resistant red rice grown in coastal tracts of North Malabar, packed with natural dietary fiber.",1 kg,,,
21,"Rice, Atta & Flours",Rakthashali Rice,"Rare heritage red rice celebrated in classic Ayurvedic texts for boosting vitality and balancing bodily humors; consumed as health gruel.",1 kg,,,
22,"Rice, Atta & Flours",Mullankazhama Rice,"Heirloom fragrant table rice indigenous to Wayanad, prized for delicate tender texture and rich traditional taste.",1 kg,,,
23,"Rice, Atta & Flours",Thondi Rice (Wayanadan Thondi),"Indigenous heritage red parboiled rice cultivated in Wayanad valleys, known for robust nutrition and hearty rustic grain feel.",1 kg,,,
24,"Rice, Atta & Flours",Chettiveliyan Rice,"Sturdy heritage parboiled red rice from Wayanad with high resistance and hearty grain texture, favored for wholesome lunch meals.",1 kg,,,
25,"Rice, Atta & Flours",Broken Matta Rice (Matta Ari Nurukku),"Cracked red parboiled matta rice grains; cooks rapidly into comforting Kerala kanji served with cooked green gram and coconut chutney.",1 kg,,,
26,"Rice, Atta & Flours",Broken Raw Rice (Pachari Nurukku),"Crushed white raw rice pieces commonly boiled for infant food, soothing convalescent porridge, and traditional temple desserts.",1 kg,,,
27,"Rice, Atta & Flours",Brown Rice (Unpolished Rice),"Whole unpolished table rice with outer bran intact; rich in fiber and minerals, popular among health-conscious Kerala households.",1 kg,,,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&w=600&q=80
28,"Rice, Atta & Flours",Black Rice (Karuppu Kavuni),"Nutrient-rich heirloom whole grain rice with deep purple anthocyanin bran; used for gourmet puddings, payasam, and health diets.",500 g,,,
29,"Rice, Atta & Flours",Ponni Boiled Rice,"Standard South Indian medium-slender parboiled rice; widely purchased across Kerala for everyday family lunch meals.",5 kg,,,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&w=600&q=80
30,"Rice, Atta & Flours",Raw Ponni Rice,"Non-boiled fine Ponni rice grain; favored for quick-cooking light meals, festive dishes, and sweet temple pongal.",5 kg,,,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&w=600&q=80
31,"Rice, Atta & Flours",Sona Masuri Rice,"Lightweight, aromatic medium-grain white rice; widely stocked in Kerala grocery shops for daily meals, pulao, and fried rice.",5 kg,,,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&w=600&q=80
32,"Rice, Atta & Flours",Idli Rice,"Short bold parboiled rice specially milled to yield high batter volume and fluffy texture when ground with urad dal for idlis.",5 kg,,,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&w=600&q=80
33,"Rice, Atta & Flours",Basmati Rice,"Classic long-grain aromatic basmati rice aged for fluffy non-sticky grain separation; widely used for biryanis and festive pulaos.",1 kg,,,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&w=600&q=80
34,"Rice, Atta & Flours",1121 Basmati Rice,"Premium extra-long slender basmati grain celebrated for supreme post-cooking elongation; preferred choice for wedding and party biryanis.",1 kg,,,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&w=600&q=80
35,"Rice, Atta & Flours",Sella Basmati Rice (Golden Parboiled Basmati),"Parboiled firm basmati grain with golden tint; highly resilient to breakage, favored by Kerala catering establishments for bulk biryani cooking.",5 kg,,,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&w=600&q=80
36,"Rice, Atta & Flours",Brown Basmati Rice,"Whole grain aromatic basmati with nutty bran layer intact; combines delicate basmati fragrance with low glycemic index benefits.",1 kg,,,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&w=600&q=80
37,"Rice, Atta & Flours",Broken Basmati Rice (Tibar / Dubar),"Aromatic broken basmati grain pieces; budget-friendly option for daily flavorful khichdi, kheer, and family rice dishes.",1 kg,,,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&w=600&q=80
38,"Rice, Atta & Flours",Kolam Rice,"Slender white table rice with smooth cooking texture; common daily staple in retail grocery stores.",5 kg,,,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&w=600&q=80
39,"Rice, Atta & Flours",Puttu Podi (Rice Puttu Podi),"Coarsely granulated, steam-roasted white rice flour engineered specifically for layering with coconut and steaming soft Kerala puttu.",1 kg,,,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=600&q=80
40,"Rice, Atta & Flours",Matta Puttu Podi (Red Rice Puttu Podi),"Coarsely granulated flour milled from parboiled Kerala matta red rice; provides rich bran fiber in traditional breakfast puttu.",1 kg,,,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=600&q=80
41,"Rice, Atta & Flours",Chemba Puttu Podi,"Special coarse puttu flour milled from traditional Chemba red rice, giving an authentic rustic color and distinct earthy flavor.",1 kg,,,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=600&q=80
42,"Rice, Atta & Flours",Wheat Puttu Podi,"Coarsely granulated whole wheat flour formulated for making nutritious, non-clumping steamed wheat puttu.",1 kg,,,https://images.unsplash.com/photo-1574323347407-f5e1ad6d020b?auto=format&fit=crop&w=600&q=80
43,"Rice, Atta & Flours",Ragi Puttu Podi,"Coarsely milled finger millet flour blended for steaming calcium-rich, traditional dark ragi puttu.",1 kg,,,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=600&q=80
44,"Rice, Atta & Flours",Appam Podi (Vellayappam Powder),"Finely ground white rice flour processed to facilitate natural yeast fermentation for soft, spongy Kerala vellayappam and kallappam.",1 kg,,,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=600&q=80
45,"Rice, Atta & Flours",Idiyappam Podi (Noolappam Powder),"Specially processed extra-fine steamed rice flour ensuring pliable dough that presses effortlessly into delicate, non-sticky string hoppers.",1 kg,,,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=600&q=80
46,"Rice, Atta & Flours",Pathiri Podi (Malabar Pathiri Powder),"Ultra-fine, silky pre-roasted white rice flour engineered specifically for rolling paper-thin, tender traditional Malabar rice pathiris.",1 kg,,,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=600&q=80
47,"Rice, Atta & Flours",Roasted Rice Flour (Varutha Ari Podi),"Uniformly dry-roasted fine white rice flour; essential foundation for Kerala snacks including kozhukkatta, ila ada, unniyappam, and murukku.",1 kg,,,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=600&q=80
48,"Rice, Atta & Flours",Raw Rice Flour (Ari Podi),"Pure unroasted finely milled white rice flour; multi-purpose household ingredient for daily batters, snack coatings, and thickeners.",1 kg,,,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=600&q=80
49,"Rice, Atta & Flours",Fine Rice Flour,"Silky smooth sifted rice flour suited for light crisp snacks, bakery products, and traditional confectionery.",500 g,,,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=600&q=80
