S.No.,Category,Product Name,Description,Quantity,Original Price (MRP),Selling Price,Image URL
1,"Rice, Atta & Flours",24 Mantra Organic Bajra Flour,"24 Mantra Organic Bajra Flour for everyday cooking, dining, and household needs.",1 kg,,,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=600&q=80
2,"Rice, Atta & Flours",24 Mantra Organic Barnyard Millet,"24 Mantra Organic Barnyard Millet for everyday cooking, dining, and household needs.",500 g,,,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&w=600&q=80
3,"Rice, Atta & Flours",24 Mantra Organic Black Rice,"24 Mantra Organic Black Rice for everyday cooking, dining, and household needs.",500 g,,,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&w=600&q=80
4,"Rice, Atta & Flours",24 Mantra Organic Foxtail Millet,"24 Mantra Organic Foxtail Millet for everyday cooking, dining, and household needs.",1 kg / 500 g,,,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&w=600&q=80
5,"Rice, Atta & Flours",24 Mantra Organic Jowar Flour,"24 Mantra Organic Jowar Flour for everyday cooking, dining, and household needs.",1 kg,,,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=600&q=80
6,"Rice, Atta & Flours",24 Mantra Organic Kodo Millet,"24 Mantra Organic Kodo Millet for everyday cooking, dining, and household needs.",500 g,,,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&w=600&q=80
7,"Rice, Atta & Flours",24 Mantra Organic Little Millet,"24 Mantra Organic Little Millet for everyday cooking, dining, and household needs.",500 g,,,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&w=600&q=80
8,"Rice, Atta & Flours",24 Mantra Organic Ragi Flour,"24 Mantra Organic Ragi Flour for everyday cooking, dining, and household needs.",1 kg / 500 g,,,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=600&q=80
9,"Rice, Atta & Flours",24 Mantra Organic Red Rice,"24 Mantra Organic Red Rice for everyday cooking, dining, and household needs.",1 kg,,,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&w=600&q=80
10,"Rice, Atta & Flours",24 Mantra Organic Rice Flour,"24 Mantra Organic Rice Flour for everyday cooking, dining, and household needs.",1 kg / 500 g,,,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&w=600&q=80
11,"Rice, Atta & Flours",24 Mantra Organic Sona Masoori Rice,"24 Mantra Organic Sona Masoori Rice for everyday cooking, dining, and household needs.",5 kg / 1 kg,,,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&w=600&q=80
12,"Rice, Atta & Flours",24 Mantra Organic Whole Wheat Atta,"24 Mantra Organic Whole Wheat Atta for everyday cooking, dining, and household needs.",5 kg / 1 kg,,,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=600&q=80
13,"Rice, Atta & Flours",Aashirvaad Multigrain Atta,"Aashirvaad Multigrain Atta for everyday cooking, dining, and household needs.",5 kg / 1 kg,,,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=600&q=80
