S.No.,Category,Product Name,Description,Quantity,Original Price (MRP),Selling Price,Image URL
1,"Dals, Pulses & Beans",Whole Green Gram (Cherupayar),"Whole green mung beans, locally known as Cherupayar; essential Kerala household staple cooked as morning payar puzhukku with kanji or sprouted for fresh salads.",1 kg,,,
2,"Dals, Pulses & Beans",Yellow Moong Dal (Cherupayar Parippu),"Dehulled and split yellow mung beans; fast-cooking mild dal essential for authentic Kerala Parippu Curry with ghee, thoran, and festive payasam.",1 kg,,,
3,"Dals, Pulses & Beans",Split Green Gram with Husk (Chilka Moong),"Split green gram retaining wholesome green husk; cooked into digestible light curries, khichdi, and nourishing gruels.",1 kg,,,
4,"Dals, Pulses & Beans",Whole White Urad (Urad Gota / Vella Uzhunnu),"Whole polished white black gram seeds; fundamental ingredient ground with rice to create airy, fermented batter for fluffy idlis and crisp dosas.",1 kg,,,
5,"Dals, Pulses & Beans",Split White Urad (Urad Dal / Uzhunnu Parippu),Dehulled split white black gram; indispensable pantry staple for tempering in Kerala curries and frying crisp uzhunnu vada.,1 kg,,,
6,"Dals, Pulses & Beans",Whole Black Urad (Karuppu Uzhunnu),Whole unhusked black gram with nutrient-dense black skin; traditionally cooked in rustic Kerala dal curries and post-natal Ayurvedic wellness preparations.,1 kg,,,
7,"Dals, Pulses & Beans",Split Black Urad (Chilka Urad),Split black gram with retained black husk; used in wholesome rustic South Indian lentil preparations and breakfast items.,1 kg,,,
8,"Dals, Pulses & Beans",Red Cowpea (Vanpayar),"Whole red cowpea beans, universally known in Kerala as Vanpayar; quintessential core staple for traditional Mathanga Erissery, Vanpayar Thoran, and kanji accompaniments.",1 kg,,,
9,"Dals, Pulses & Beans",White Cowpea (Vella Vanpayar / Lobia),Creamy white cowpeas with subtle sweet flavor; widely prepared in Kerala homes for mild coconut-simmered curries and snack boils.,1 kg,,,
10,"Dals, Pulses & Beans",Black-Eyed Peas (Karamani / White Lobia),"White cowpea beans characterized by a distinctive black eye; cooks tenderly for savory side dishes, sundal, and mixed vegetable stews.",1 kg,,,
11,"Dals, Pulses & Beans",Brown Cowpea (Nadan Payar),Traditional indigenous brown cowpea harvested from local Kerala farms; prized for dense earthy taste in rustic vegetable curries.,1 kg,,,
12,"Dals, Pulses & Beans",Black Chickpeas (Kadala / Kala Chana),"Whole brown-black desi chickpeas, locally celebrated as Kadala; the undisputed Kerala breakfast staple cooked into spicy Kadala Curry for puttu and appam.",1 kg,,,
13,"Dals, Pulses & Beans",White Chickpeas (Kabuli Chana / Vella Kadala),"Large plump cream-colored chickpeas with creamy texture; popular for festive sundal, North Indian style chole gravies, and nutritious salads.",1 kg,,,
14,"Dals, Pulses & Beans",Green Chickpeas (Hara Chana / Pacha Kadala),Dried green chickpeas offering a tender nutty flavor; soaked and cooked in spiced coconut gravies or boiled for protein-rich tea snacks.,500 g,,,
