S.No.,Category,Product Name,Description,Quantity,Original Price (MRP),Selling Price,Image URL
1,Beverages,Club Soda,"Club Soda for everyday cooking, dining, and household needs.",300ml / 750ml / 1L,,,
2,Beverages,Filter Coffee Powder,"Filter Coffee Powder for everyday cooking, dining, and household needs.",100g / 200g / 500g / 1kg,,,
3,Beverages,Fresh Lime Juice,"Fresh Lime Juice for everyday cooking, dining, and household needs.",300ml / 500ml / 1L,,,
4,Beverages,Green Tea,"Green Tea for everyday cooking, dining, and household needs.",10 bags / 25 bags / 50 bags / 100g,,,
5,Beverages,Instant Coffee,"Instant Coffee for everyday cooking, dining, and household needs.",25g / 50g / 100g / 200g,,,
6,Beverages,Leaf Tea / Gold Tea,"Leaf Tea / Gold Tea for everyday cooking, dining, and household needs.",100g / 250g / 500g,,,
7,Beverages,Malt Nutrition Drink,"Malt Nutrition Drink for everyday cooking, dining, and household needs.",200g / 400g / 500g / 750g / 1kg,,,
8,Beverages,Packaged Drinking Water,"Packaged Drinking Water for everyday cooking, dining, and household needs.",500ml / 1L / 2L / 5L / 20L,,,
9,Beverages,Premium Dust Tea,"Premium Dust Tea for everyday cooking, dining, and household needs.",100g / 250g / 500g / 1kg,,,
10,Beverages,Strong Tea,"Strong Tea for everyday cooking, dining, and household needs.",100g / 250g / 500g / 1kg,,,
11,Beverages,Tender Coconut Water (Karikku),"Tender Coconut Water (Karikku) for everyday cooking, dining, and household needs.",1pc / 2pcs / 3pcs / 5pcs,,,
